Name,Tm,R,HR,RBI,SB,OBP
Tristan Peters,Tampa Bay,0,0,0,0,0.0
Tommy Pham,Pittsburgh,44,10,52,5,0.33
Kevin Pillar,Texas,6,0,1,3,0.209
Jorge Polanco,Seattle,71,29,86,6,0.321
Logan Porter,San Francisco,2,0,1,0,0.333
Yohel Pozo,St. Louis,16,5,19,0,0.262
C\xc3\xa9sar Prieto,St. Louis,0,0,0,0,0.167
Jurickson Profar,Atlanta,56,14,43,9,0.353
Edgar Quero,Chicago,31,5,36,0,0.333
Ceddanne Rafaela,Boston,86,16,63,20,0.292
Cal Raleigh,Seattle,118,65,133,14,0.362
Luke Raley,Seattle,24,4,19,2,0.317
Agust\xc3\xadn Ram\xc3\xadrez,Miami,72,21,67,16,0.287
Jos\xc3\xa9 Ram\xc3\xadrez,Cleveland,104,30,86,44,0.362
Bryan Ramos,Chicago,1,0,2,0,0.167
Heliot Ramos,San Francisco,85,21,69,6,0.328
John Rave,Kansas City,18,4,14,7,0.283
Colin Rea,Chicago,0,0,0,0,0.0
J.T. Realmuto,Philadelphia,60,13,55,8,0.316
Rob Refsnyder,Boston,29,9,30,3,0.349
Hunter Renfroe,Kansas City,5,0,4,0,0.241
Luis Rengifo,Los Angeles,55,9,43,10,0.287
Pablo Reyes,New York,4,0,2,1,0.242
Bryan Reynolds,Pittsburgh,68,16,73,3,0.318
Ben Rice,New York,76,27,69,3,0.335
Austin Riley,Atlanta,54,16,54,2,0.309
Ryan Ritter,Colorado,22,1,18,3,0.296
Leo Rivas,Seattle,20,2,10,6,0.371
Emmanuel Rivera,Baltimore,5,0,13,1,0.291
Sebasti\xc3\xa1n Rivero,Los Angeles,4,0,2,1,0.206
Luis Robert Jr.,Chicago,52,14,53,33,0.297
Will Robertson,"Chicago,Toronto",2,0,9,0,0.173
Chuckie Robinson,Los Angeles,1,0,0,0,0.0
V\xc3\xadctor Robles,Seattle,13,1,9,6,0.289
